ClockLab,,,,
C2-141-1,,,,
15-Jun-2017,00:00,,,,
1,5,58,NaN,NaN
1,5,59,NaN,NaN
1,6,0,NaN,NaN
1,6,1,NaN,NaN
1,6,2,NaN,NaN
1,6,3,NaN,NaN
1,6,4,NaN,NaN
1,6,5,NaN,NaN
1,6,6,NaN,NaN
1,6,7,NaN,NaN
1,6,8,NaN,NaN
1,6,9,NaN,NaN
1,6,10,NaN,NaN
1,6,11,NaN,NaN
1,6,12,NaN,NaN
1,6,13,NaN,NaN
1,6,14,NaN,NaN
1,6,15,NaN,NaN
1,6,16,NaN,NaN
1,6,17,NaN,NaN
1,6,18,NaN,NaN
1,6,19,NaN,NaN
1,6,20,NaN,NaN
1,6,21,NaN,NaN
1,6,22,NaN,NaN
1,6,23,NaN,NaN
1,6,24,NaN,NaN
1,6,25,NaN,NaN
1,6,26,NaN,NaN
1,6,27,NaN,NaN
1,6,28,NaN,NaN
1,6,29,NaN,NaN
1,6,30,NaN,NaN
1,6,31,NaN,NaN
1,6,32,NaN,NaN
1,6,33,NaN,NaN
1,6,34,NaN,NaN
1,6,35,NaN,NaN
1,6,36,NaN,NaN
1,6,37,NaN,NaN
1,6,38,NaN,NaN
1,6,39,NaN,NaN
1,6,40,NaN,NaN
1,6,41,NaN,NaN
1,6,42,NaN,NaN
1,6,43,NaN,NaN
1,6,44,NaN,NaN
1,6,45,NaN,NaN
1,6,46,NaN,NaN
1,6,47,NaN,NaN
1,6,48,NaN,NaN
1,6,49,NaN,NaN
1,6,50,NaN,NaN
1,6,51,NaN,NaN
1,6,52,NaN,NaN
1,6,53,NaN,NaN
1,6,54,NaN,NaN
1,6,55,NaN,NaN
1,6,56,NaN,NaN
1,6,57,NaN,NaN
1,6,58,NaN,NaN
1,6,59,NaN,NaN
1,7,0,NaN,NaN
1,7,1,NaN,NaN
1,7,2,NaN,NaN
1,7,3,NaN,NaN
1,7,4,NaN,NaN
1,7,5,NaN,NaN
1,7,6,NaN,NaN
1,7,7,NaN,NaN
1,7,8,NaN,NaN
1,7,9,NaN,NaN
1,7,10,NaN,NaN
1,7,11,NaN,NaN
1,7,12,NaN,NaN
1,7,13,NaN,NaN
1,7,14,NaN,NaN
1,7,15,NaN,NaN
1,7,16,NaN,NaN
1,7,17,NaN,NaN
1,7,18,NaN,NaN
1,7,19,NaN,NaN
1,7,20,NaN,NaN
1,7,21,NaN,NaN
1,7,22,NaN,NaN
1,7,23,NaN,NaN
1,7,24,NaN,NaN
1,7,25,NaN,NaN
1,7,26,NaN,NaN
1,7,27,NaN,NaN
1,7,28,NaN,NaN
1,7,29,NaN,NaN
1,7,30,NaN,NaN
1,7,31,NaN,NaN
1,7,32,NaN,NaN
1,7,33,NaN,NaN
1,7,34,NaN,NaN
1,7,35,NaN,NaN
1,7,36,NaN,NaN
1,7,37,NaN,NaN
1,7,38,NaN,NaN
1,7,39,NaN,NaN
1,7,40,NaN,NaN
1,7,41,NaN,NaN
1,7,42,NaN,NaN
1,7,43,NaN,NaN
1,7,44,NaN,NaN
1,7,45,NaN,NaN
1,7,46,NaN,NaN
1,7,47,NaN,NaN
1,7,48,NaN,NaN
1,7,49,NaN,NaN
1,7,50,NaN,NaN
1,7,51,NaN,NaN
1,7,52,NaN,NaN
1,7,53,NaN,NaN
1,7,54,NaN,NaN
1,7,55,NaN,NaN
1,7,56,NaN,NaN
1,7,57,NaN,NaN
1,7,58,NaN,NaN
1,7,59,NaN,NaN
1,8,0,NaN,NaN
1,8,1,NaN,NaN
1,8,2,NaN,NaN
1,8,3,NaN,NaN
1,8,4,NaN,NaN
1,8,5,NaN,NaN
1,8,6,NaN,NaN
1,8,7,NaN,NaN
1,8,8,NaN,NaN
1,8,9,NaN,NaN
1,8,10,NaN,NaN
1,8,11,NaN,NaN
1,8,12,NaN,NaN
1,8,13,NaN,NaN
1,8,14,NaN,NaN
1,8,15,NaN,NaN
1,8,16,NaN,NaN
1,8,17,NaN,NaN
1,8,18,NaN,NaN
1,8,19,NaN,NaN
1,8,20,NaN,NaN
1,8,21,NaN,NaN
1,8,22,NaN,NaN
1,8,23,NaN,NaN
1,8,24,NaN,NaN
1,8,25,NaN,NaN
1,8,26,NaN,NaN
1,8,27,NaN,NaN
1,8,28,NaN,NaN
1,8,29,NaN,NaN
1,8,30,NaN,NaN
1,8,31,NaN,NaN
1,8,32,NaN,NaN
1,8,33,NaN,NaN
1,8,34,NaN,NaN
1,8,35,NaN,NaN
1,8,36,NaN,NaN
1,8,37,NaN,NaN
1,8,38,NaN,NaN
1,8,39,NaN,NaN
1,8,40,NaN,NaN
1,8,41,NaN,NaN
1,8,42,NaN,NaN
1,8,43,NaN,NaN
1,8,44,NaN,NaN
1,8,45,NaN,NaN
1,8,46,NaN,NaN
1,8,47,NaN,NaN
1,8,48,NaN,NaN
1,8,49,NaN,NaN
1,8,50,NaN,NaN
1,8,51,NaN,NaN
1,8,52,NaN,NaN
1,8,53,NaN,NaN
1,8,54,NaN,NaN
1,8,55,NaN,NaN
1,8,56,NaN,NaN
1,8,57,NaN,NaN
1,8,58,NaN,NaN
1,8,59,NaN,NaN
1,9,0,NaN,NaN
1,9,1,NaN,NaN
1,9,2,NaN,NaN
1,9,3,NaN,NaN
1,9,4,NaN,NaN
1,9,5,NaN,NaN
1,9,6,NaN,NaN
1,9,7,NaN,NaN
1,9,8,NaN,NaN
1,9,9,NaN,NaN
1,9,10,NaN,NaN
1,9,11,NaN,NaN
1,9,12,NaN,NaN
1,9,13,NaN,NaN
1,9,14,NaN,NaN
1,9,15,NaN,NaN
1,9,16,NaN,NaN
1,9,17,NaN,NaN
1,9,18,NaN,NaN
1,9,19,NaN,NaN
1,9,20,NaN,NaN
1,9,21,NaN,NaN
1,9,22,NaN,NaN
1,9,23,NaN,NaN
1,9,24,NaN,NaN
1,9,25,NaN,NaN
1,9,26,NaN,NaN
1,9,27,NaN,NaN
1,9,28,NaN,NaN
1,9,29,NaN,NaN
1,9,30,NaN,NaN
1,9,31,NaN,NaN
1,9,32,NaN,NaN
1,9,33,NaN,NaN
1,9,34,NaN,NaN
1,9,35,NaN,NaN
1,9,36,NaN,NaN
1,9,37,NaN,NaN
1,9,38,NaN,NaN
1,9,39,NaN,NaN
1,9,40,NaN,NaN
1,9,41,NaN,NaN
1,9,42,NaN,NaN
1,9,43,NaN,NaN
1,9,44,NaN,NaN
1,9,45,NaN,NaN
1,9,46,NaN,NaN
1,9,47,NaN,NaN
1,9,48,NaN,NaN
1,9,49,NaN,NaN
1,9,50,NaN,NaN
1,9,51,NaN,NaN
1,9,52,NaN,NaN
1,9,53,NaN,NaN
1,9,54,NaN,NaN
1,9,55,NaN,NaN
1,9,56,NaN,NaN
1,9,57,NaN,NaN
1,9,58,NaN,NaN
1,9,59,NaN,NaN
1,10,0,NaN,NaN
1,10,1,NaN,NaN
1,10,2,NaN,NaN
1,10,3,NaN,NaN
1,10,4,NaN,NaN
1,10,5,NaN,NaN
1,10,6,NaN,NaN
1,10,7,NaN,NaN
1,10,8,NaN,NaN
1,10,9,NaN,NaN
1,10,10,NaN,NaN
1,10,11,NaN,NaN
1,10,12,NaN,NaN
1,10,13,NaN,NaN
1,10,14,NaN,NaN
1,10,15,NaN,NaN
1,10,16,NaN,NaN
1,10,17,NaN,NaN
1,10,18,NaN,NaN
1,10,19,NaN,NaN
1,10,20,NaN,NaN
1,10,21,NaN,NaN
1,10,22,NaN,NaN
1,10,23,NaN,NaN
1,10,24,NaN,NaN
1,10,25,NaN,NaN
1,10,26,NaN,NaN
1,10,27,NaN,NaN
1,10,28,NaN,NaN
1,10,29,NaN,NaN
1,10,30,NaN,NaN
1,10,31,NaN,NaN
1,10,32,NaN,NaN
1,10,33,NaN,NaN
1,10,34,NaN,NaN
1,10,35,NaN,NaN
1,10,36,NaN,NaN
1,10,37,NaN,NaN
1,10,38,NaN,NaN
1,10,39,NaN,NaN
1,10,40,NaN,NaN
1,10,41,NaN,NaN
1,10,42,NaN,NaN
1,10,43,NaN,NaN
1,10,44,NaN,NaN
1,10,45,NaN,NaN
1,10,46,NaN,NaN
1,10,47,NaN,NaN
1,10,48,NaN,NaN
1,10,49,NaN,NaN
1,10,50,NaN,NaN
1,10,51,NaN,NaN
1,10,52,NaN,NaN
1,10,53,NaN,NaN
1,10,54,NaN,NaN
1,10,55,NaN,NaN
1,10,56,NaN,NaN
1,10,57,NaN,NaN
1,10,58,NaN,NaN
1,10,59,NaN,NaN
1,11,0,0.00,NaN
1,11,1,0.00,NaN
1,11,2,0.00,NaN
1,11,3,0.00,NaN
1,11,4,0.00,NaN
1,11,5,0.00,NaN
1,11,6,0.00,NaN
1,11,7,0.00,NaN
1,11,8,0.00,NaN
1,11,9,0.00,NaN
1,11,10,0.00,NaN
1,11,11,0.00,NaN
1,11,12,0.00,NaN
1,11,13,0.00,NaN
1,11,14,0.00,NaN
1,11,15,0.00,NaN
1,11,16,0.00,NaN
1,11,17,0.00,NaN
1,11,18,0.00,NaN
1,11,19,0.00,NaN
1,11,20,0.00,NaN
1,11,21,0.00,NaN
1,11,22,0.00,NaN
1,11,23,0.00,NaN
1,11,24,0.00,NaN
1,11,25,0.00,NaN
1,11,26,0.00,NaN
1,11,27,0.00,NaN
1,11,28,0.00,NaN
1,11,29,0.00,NaN
1,11,30,0.00,NaN
1,11,31,0.00,NaN
1,11,32,0.00,NaN
1,11,33,0.00,NaN
1,11,34,0.00,NaN
1,11,35,0.00,NaN
1,11,36,0.00,NaN
1,11,37,0.00,NaN
1,11,38,0.00,NaN
1,11,39,0.00,NaN
1,11,40,0.00,NaN
1,11,41,0.00,NaN
1,11,42,0.00,NaN
1,11,43,0.00,NaN
1,11,44,0.00,NaN
1,11,45,0.00,NaN
1,11,46,0.00,NaN
1,11,47,0.00,NaN
1,11,48,0.00,NaN
1,11,49,0.00,NaN
1,11,50,0.00,NaN
1,11,51,0.00,NaN
1,11,52,0.00,NaN
1,11,53,0.00,NaN
1,11,54,0.00,NaN
1,11,55,0.00,NaN
1,11,56,0.00,NaN
1,11,57,0.00,60.00
1,11,58,0.00,60.00
1,11,59,0.00,60.00
1,12,0,0.00,60.00
1,12,1,0.00,60.00
1,12,2,0.00,60.00
1,12,3,0.00,60.00
1,12,4,0.00,60.00
1,12,5,0.00,60.00
1,12,6,0.00,60.00
1,12,7,0.00,60.00
1,12,8,0.00,60.00
1,12,9,0.00,60.00
1,12,10,0.00,60.00
1,12,11,0.00,60.00
1,12,12,0.00,60.00
1,12,13,0.00,60.00
1,12,14,0.00,60.00
1,12,15,0.00,60.00
1,12,16,0.00,60.00
1,12,17,0.00,60.00
1,12,18,0.00,60.00
1,12,19,0.00,60.00
1,12,20,0.00,60.00
1,12,21,0.00,60.00
1,12,22,0.00,60.00
1,12,23,0.00,60.00
1,12,24,0.00,60.00
1,12,25,0.00,60.00
1,12,26,0.00,60.00
1,12,27,0.00,60.00
1,12,28,0.00,60.00
1,12,29,0.00,60.00
1,12,30,0.00,60.00
1,12,31,0.00,60.00
1,12,32,0.00,60.00
1,12,33,0.00,60.00
1,12,34,0.00,60.00
1,12,35,0.00,60.00
1,12,36,0.00,60.00
1,12,37,0.00,60.00
1,12,38,0.00,60.00
1,12,39,0.00,60.00
1,12,40,0.00,60.00
1,12,41,0.00,60.00
1,12,42,0.00,60.00
1,12,43,0.00,60.00
1,12,44,0.00,60.00
1,12,45,0.00,60.00
1,12,46,0.00,60.00
1,12,47,0.00,60.00
1,12,48,0.00,60.00
1,12,49,0.00,60.00
1,12,50,0.00,60.00
1,12,51,0.00,60.00
1,12,52,0.00,60.00
1,12,53,0.00,60.00
1,12,54,0.00,60.00
1,12,55,0.00,60.00
1,12,56,0.00,60.00
1,12,57,0.00,60.00
1,12,58,0.00,60.00
1,12,59,0.00,60.00
1,13,0,0.00,60.00
1,13,1,0.00,60.00
1,13,2,0.00,60.00
1,13,3,0.00,60.00
1,13,4,0.00,60.00
1,13,5,0.00,60.00
1,13,6,0.00,60.00
1,13,7,0.00,60.00
1,13,8,0.00,60.00
1,13,9,0.00,60.00
1,13,10,0.00,60.00
1,13,11,0.00,60.00
1,13,12,0.00,60.00
1,13,13,0.00,60.00
1,13,14,0.00,60.00
1,13,15,0.00,60.00
1,13,16,0.00,60.00
1,13,17,0.00,60.00
1,13,18,0.00,60.00
1,13,19,0.00,60.00
1,13,20,0.00,60.00
1,13,21,0.00,60.00
1,13,22,0.00,60.00
1,13,23,0.00,60.00
1,13,24,0.00,60.00
1,13,25,0.00,60.00
1,13,26,0.00,60.00
1,13,27,0.00,60.00
1,13,28,0.00,60.00
1,13,29,0.00,60.00
1,13,30,0.00,60.00
1,13,31,0.00,60.00
1,13,32,0.00,60.00
1,13,33,0.00,60.00
1,13,34,0.00,60.00
1,13,35,0.00,60.00
1,13,36,0.00,60.00
1,13,37,0.00,60.00
1,13,38,0.00,60.00
1,13,39,0.00,60.00
1,13,40,0.00,60.00
1,13,41,0.00,60.00
1,13,42,0.00,60.00
1,13,43,0.00,60.00
1,13,44,0.00,60.00
1,13,45,0.00,60.00
1,13,46,0.00,60.00
1,13,47,0.00,60.00
1,13,48,0.00,60.00
1,13,49,0.00,60.00
1,13,50,0.00,60.00
1,13,51,0.00,60.00
1,13,52,0.00,60.00
1,13,53,0.00,60.00
1,13,54,0.00,60.00
1,13,55,0.00,60.00
1,13,56,0.00,60.00
1,13,57,0.00,60.00
1,13,58,0.00,60.00
1,13,59,0.00,60.00
1,14,0,0.00,60.00
1,14,1,0.00,60.00
1,14,2,0.00,60.00
1,14,3,0.00,60.00
1,14,4,0.00,60.00
1,14,5,0.00,60.00
1,14,6,0.00,60.00
1,14,7,0.00,60.00
1,14,8,0.00,60.00
1,14,9,0.00,60.00
1,14,10,0.00,60.00
1,14,11,0.00,60.00
1,14,12,0.00,60.00
1,14,13,0.00,60.00
1,14,14,0.00,60.00
1,14,15,0.00,60.00
1,14,16,0.00,60.00
1,14,17,0.00,60.00
1,14,18,23.00,60.00
1,14,19,0.00,60.00
1,14,20,0.00,60.00
1,14,21,0.00,60.00
1,14,22,0.00,60.00
1,14,23,0.00,60.00
1,14,24,0.00,60.00
1,14,25,0.00,60.00
1,14,26,1.00,60.00
1,14,27,0.00,60.00
1,14,28,0.00,60.00
1,14,29,2.00,60.00
1,14,30,0.00,60.00
1,14,31,0.00,60.00
1,14,32,0.00,60.00
1,14,33,1.00,60.00
1,14,34,0.00,0.00
1,14,35,0.00,60.00
1,14,36,0.00,60.00
1,14,37,0.00,60.00
1,14,38,22.00,0.00
1,14,39,0.00,0.00
1,14,40,0.00,0.00
1,14,41,0.00,0.00
1,14,42,0.00,0.00
1,14,43,0.00,0.00
1,14,44,0.00,0.00
1,14,45,0.00,0.00
1,14,46,0.00,0.00
1,14,47,0.00,0.00
1,14,48,0.00,0.00
1,14,49,0.00,0.00
1,14,50,0.00,0.00
1,14,51,0.00,0.00
1,14,52,0.00,0.00
1,14,53,0.00,0.00
1,14,54,0.00,0.00
1,14,55,0.00,0.00
1,14,56,0.00,0.00
1,14,57,0.00,0.00
1,14,58,0.00,0.00
1,14,59,0.00,0.00
1,15,0,0.00,0.00
1,15,1,0.00,0.00
1,15,2,0.00,0.00
1,15,3,0.00,0.00
1,15,4,0.00,0.00
1,15,5,0.00,0.00
1,15,6,0.00,0.00
1,15,7,0.00,0.00
1,15,8,0.00,0.00
1,15,9,0.00,0.00
1,15,10,0.00,0.00
1,15,11,0.00,0.00
1,15,12,0.00,0.00
1,15,13,0.00,0.00
1,15,14,0.00,0.00
1,15,15,0.00,0.00
1,15,16,0.00,0.00
1,15,17,0.00,0.00
1,15,18,0.00,0.00
1,15,19,0.00,0.00
1,15,20,0.00,0.00
1,15,21,0.00,0.00
1,15,22,0.00,0.00
1,15,23,0.00,0.00
1,15,24,0.00,0.00
1,15,25,1.00,0.00
1,15,26,0.00,0.00
1,15,27,0.00,0.00
1,15,28,0.00,0.00
1,15,29,0.00,0.00
1,15,30,0.00,0.00
1,15,31,0.00,0.00
1,15,32,0.00,0.00
1,15,33,0.00,0.00
1,15,34,0.00,0.00
1,15,35,0.00,0.00
1,15,36,0.00,0.00
1,15,37,0.00,0.00
1,15,38,0.00,0.00
1,15,39,0.00,0.00
1,15,40,0.00,0.00
1,15,41,0.00,0.00
1,15,42,0.00,0.00
1,15,43,0.00,0.00
1,15,44,0.00,0.00
1,15,45,0.00,0.00
1,15,46,0.00,0.00
1,15,47,0.00,0.00
1,15,48,0.00,0.00
1,15,49,0.00,0.00
1,15,50,0.00,0.00
1,15,51,0.00,0.00
1,15,52,0.00,0.00
1,15,53,0.00,0.00
1,15,54,0.00,0.00
1,15,55,0.00,0.00
1,15,56,0.00,0.00
1,15,57,0.00,0.00
1,15,58,0.00,0.00
1,15,59,0.00,0.00
1,16,0,0.00,0.00
1,16,1,0.00,0.00
1,16,2,0.00,0.00
1,16,3,0.00,0.00
1,16,4,0.00,0.00
1,16,5,0.00,0.00
1,16,6,0.00,0.00
1,16,7,0.00,0.00
1,16,8,0.00,0.00
1,16,9,0.00,0.00
1,16,10,0.00,0.00
1,16,11,0.00,0.00
1,16,12,0.00,0.00
1,16,13,0.00,0.00
1,16,14,0.00,0.00
1,16,15,0.00,0.00
1,16,16,0.00,0.00
1,16,17,0.00,0.00
1,16,18,0.00,0.00
1,16,19,0.00,0.00
1,16,20,0.00,0.00
1,16,21,0.00,0.00
1,16,22,0.00,0.00
1,16,23,0.00,0.00
1,16,24,0.00,0.00
1,16,25,4.00,0.00
1,16,26,3.00,0.00
1,16,27,0.00,0.00
1,16,28,0.00,0.00
1,16,29,0.00,0.00
1,16,30,0.00,0.00
1,16,31,0.00,0.00
1,16,32,0.00,0.00
